Nomaxe,NbPers,TotPopul,TotInt,Age1529,Age3059,Age60plus,SwAll,SwRom,SwIt,RgLem,RgMit,RgNo,RgZu,RgOr,RgCe,RgTess
e-Mailing,6058799,87,94,97,95,90,95,92,94,91,95,97,96,90,95,94
Information biens/services online,5350712,77,83,83,86,77,82,85,82,84,83,82,84,80,83,82
Journaux online,5060303,73,78,79,81,73,79,75,84,75,78,83,79,77,78,85
Consultation sites (eg Wikipédia),4783659,69,74,86,76,59,74,73,77,73,73,79,78,67,74,77
Informations santé online,4443163,64,69,71,70,64,68,73,68,73,71,70,69,64,62,68
Achats online,4891925,70,76,84,80,58,78,71,73,71,75,80,81,74,77,74
Réservation de voyages online,4138086,60,64,61,68,58,64,66,58,67,61,65,71,59,65,58
e-Banking,4749173,68,74,79,78,58,76,69,68,67,74,75,80,72,76,68
Télécharger/regarder des films,4455691,64,69,91,73,39,69,70,64,70,68,68,73,66,71,65
Télécharger/écouter de la musique,3814310,55,59,88,60,29,58,63,58,62,61,55,66,53,52,57
Ecouter la radio ou regarder la TV,3797145,55,59,62,62,48,60,58,53,59,60,58,60,58,60,53
Participer à un réseau social,3427250,49,53,80,56,21,52,58,48,59,53,51,54,52,51,48
Téléphones ou video-conférences,4535331,65,70,84,74,49,69,75,66,78,65,68,74,66,70,67
Recherche  et offres d'emploi online,1635343,24,25,40,29,,24,29,29,29,24,24,28,24,20,29
Télécharger des jeux ou jouer online,1723407,25,27,46,24,15,23,39,29,36,29,27,21,21,20,29
Vente online,1638474,24,25,26,29,15,26,24,22,25,25,27,28,25,24,21
Expression lors de campagnes politiques,684076,10,11,10,10,10,10,12,12,11,11,13,10,8,,13
e-Learning,773742,11,12,17,13,5,11,14,,14,9,14,15,8,,
