Nomaxe,NbPers,TotPopul,TotInt,Age1529,Age3059,Age60plus,SwAll,SwRom,SwIt,RgLem,RgMit,RgNo,RgZu,RgOr,RgCe,RgTess
e-Mailing,4800000,72,93,95,93,92,93,94,91,95,91,93,96,92,95,91
Information biens/services online,3700000,57,73,63,79,67,72,77,79,79,72,75,75,66,69,78
Journaux online,3700000,57,73,76,73,66,75,70,70,72,73,75,77,68,74,72
Consultation sites (eg Wikipédia),3700000,57,73,82,72,61,69,84,88,84,71,72,74,66,62,88
Informations santé online,2800000,42,55,45,59,54,55,52,62,52,55,55,60,53,50,63
Achats online,2800000,43,55,49,62,38,56,54,46,55,55,55,59,56,53,46
Réservation de voyages online,2800000,42,54,43,58,57,53,57,54,59,51,55,58,48,51,56
e-Banking,2600000,39,50,45,56,37,48,56,49,58,48,45,53,48,46,49
Télécharger/regarder des films,2200000,34,44,77,37,12,43,48,28,48,42,47,46,42,40,29
Télécharger/écouter de la musique,2100000,31,40,68,34,16,39,43,39,44,40,38,42,39,36,41
Ecouter la radio ou regarder la TV,1900000,29,37,48,35,25,37,38,28,36,39,40,39,33,36,28
Participer à un réseau social,1800000,28,36,72,26,7,34,41,37,39,37,34,38,33,28,35
Téléphones ou video-conférences,1400000,22,28,37,26,16,28,26,32,28,24,25,33,28,27,33
Recherche  et offres d'emploi online,800000,13,17,23,18,,17,17,19,18,16,16,19,18,14,19
Télécharger des jeux ou jouer online,800000,13,16,26,13,11,16,17,,16,19,17,19,12,14,
Vente online,700000,11,14,12,16,9,14,17,,17,16,12,15,12,12,
Expression lors de campagnes politiques,400000,7,9,8,8,11,9,7,,8,8,,12,9,,
e-Learning,200000,3,4,4,4,,4,5,,,,,,,,
